entrez,order,symbol
13654,4,Egr2
17221,NA,Cd46
58185,5,Rsad2
545812,NA,Pilrb2
72584,NA,Cul4b
66197,4,Cks2
83383,4,Tfap4
20971,5,Sdc4
14733,8,Gpc1
11864,4,Arnt2
16174,4,Il18rap
16182,4,Il18r1
70025,8,Acot7
230027,NA,Coq3
76429,7,Lhpp
27364,7,Srr
209692,7,Dhtkd1
67574,NA,Alg13
66789,NA,Alg14
70325,NA,Pigw
66268,NA,Pigyl
66469,4,Prxl2b
66204,6,Acyp1
233799,7,Acsm2
68646,4,Nadk2
18115,4,Nnt
223646,4,Naprt
68591,7,Mocos
66603,NA,Gemin2
67242,NA,Gemin6
66441,8,Magohb
69912,NA,Nup43
12228,8,Btg3
22057,8,Tob1
72587,8,Pan3
18983,8,Cnot7
11520,5,Plin2
17350,6,Mlh1
16765,3,Stmn1
21940,NA,Cd27
27279,NA,Tnfrsf12a
252837,6,Ackr4
12047,4,Bcl2a1d
105844,4,Card10
20620,4,Plk2
20873,4,Plk4
12053,4,Bcl6
67731,4,Fbxo32
14658,7,Glrb
16995,7,Ltb4r1
14289,5,Fpr2
110902,9,Chrna2
17203,5,Mc5r
56739,4,Rec8
69372,8,Mocs3
55943,NA,Stx8
22230,NA,Ufd1
69608,6,Sec24d
259300,NA,Ehd2
227613,4,Tubb4b
74043,NA,Pex26
16907,6,Lmnb2
12955,4,Cryab
93840,6,Vangl2
231148,4,Ablim2
21780,4,Tfam
20612,NA,Siglec1
18793,3,Plaur
12796,4,Camp
56551,5,Txn2
26904,5,Sh2d1b1
12399,5,Runx3
16364,3,Irf4
17909,4,Myo10
17357,3,Marcksl1
227753,4,Gsn
225998,6,Rorb
16522,2,Kcnj6
20979,4,Syt1
72843,5,Prdm4
66377,4,Ndufc1
66416,4,Ndufa7
67264,4,Ndufb8
69875,4,Ndufa11
78330,4,Ndufv3
18195,6,Nsf
56843,4,Trpm5
544963,4,Iqgap2
14252,6,Flot2
55960,4,Ebag9
16534,4,Kcnn4
56379,4,Kcnj1
16516,4,Kcnj15
232943,3,Klc3
23821,NA,Bace1
110323,5,Cox6b1
12862,5,Cox6a2
19175,5,Psmb6
214084,6,Slc18a2
22428,5,Dctn6
20511,4,Slc1a2
229906,NA,Gtf2b
13340,NA,Slc29a2
103967,4,Dnm3
56455,6,Dynll1
66395,NA,Ahnak
101835,4,AW146154
102635315,4,Gm32687
108167848,4,Gm12258
170763,4,Zfp87
170938,4,Zfp617
192651,4,Zfp286
212276,4,Zfp748
212281,4,Zfp729a
212569,4,Zfp273
218311,4,Zfp455
218314,4,Zfp595
224893,4,Zfp959
22640,4,Zfp1
22643,4,Zfp101
22648,4,Zfp11
22688,4,Zfp26
22690,4,Zfp28
22693,4,Zfp30
22700,4,Zfp40
22715,4,Zfp57
232966,4,Zfp114
233056,4,Zfp790
233060,4,Zfp382
234358,4,Zfp930
234362,4,Zfp868
235047,4,Zfp809
235956,4,Zfp825
237775,4,Zfp867
238693,4,Zfp58
240063,4,Zfp811
240064,4,Zfp799
243308,4,A430033K04Rik
243963,4,Zfp473
244556,4,Zfp791
27081,4,Zfp275
30944,4,Zfp354c
330502,4,Zfp82
380850,4,Gm5141
380855,4,Rsl1
381066,4,Zfp948
381067,4,Zfp229
384763,4,Zfp667
433801,4,Gm13212
545938,4,Zfp607a
54678,4,Zfp108
56869,4,Zfp109
57782,4,Rbak
636741,4,Zfp964
665211,4,Gm14326
67911,4,Zfp169
71131,4,Zfp689
71591,4,Zfp251
72180,4,Zfp661
72230,4,Zfp558
72556,4,Zfp566
73729,4,Zfp383
76373,4,Zfp773
78251,4,Zfp712
22352,4,Vim
18715,4,Pim2
12050,NA,Bcl2l2
22762,NA,Zfpm2
71819,NA,Kif23
110794,5,Cebpe
26992,6,Brd7
20514,4,Slc1a5
56517,4,Slc22a21
