,blood_mac_1,blood_mac_2,blood_mac_3,sm_mac_1,sm_mac_2,sm_mac_3
Cct7,137.962843297772,128.927369795854,119.487183719659,105.58853160791,109.255648671611,111.847637444928
Fbxo41,0.245758794562943,0.447664478457826,0.403358449326295,0.966095283818336,0.44164285843624,0.332138492783752
Egr4,0.921595479611036,0.746107464096376,0.0620551460501993,0.852437015133826,0.101917582716055,0.0415173115979689
Alms1,25.7739535797886,29.5831609514213,36.0540398551658,36.1433294416742,45.3193517810726,41.3512423515771
Cml3,2.97982538407568,1.49221492819275,1.92370952755618,4.94413468777619,1.63068132345689,2.28345213788829
LOC100504710,4.76157664465702,3.05904060279514,3.07172972948486,2.61414017974373,1.01917582716055,1.03793278994922
Cml5,2.45758794562943,2.31293313869877,1.76857166243068,1.93219056763667,0.305752748148166,0.705794297165472
Nat8,14.0389711394081,12.758437636048,13.7452148501191,4.48950161303815,1.46081868559679,2.86469450025986
Cml2,9.79963193319735,6.78957792327702,4.31283265048885,4.20535594132687,1.22301099259266,0.705794297165472
1700019G17Rik,1.96607035650354,1.7906579138313,2.20295768478207,2.72779844842824,1.90246154403303,1.7437270871147
Cml1,58.5213129553008,50.6233914389391,46.075945942273,17.5602025117568,10.5994286024698,14.9047148636708
Tprkb,39.2906872807505,26.6733418414454,31.2447660362753,27.9031049620472,20.7911868740753,20.6756211757885
Dusp11,116.213189978952,105.723427662457,138.103727534718,124.398975075196,118.66603880906,131.734429700355
Add2,2.05822990446465,1.60413104780721,0.620551460501993,7.50144573317767,0.747395606584406,1.28703665953704
Tgfa,1.10591457553324,1.08185582293975,0.961854763778089,4.71681815040717,1.22301099259266,1.66069246391876
Fam136a,13.2402550570786,9.88592389927699,10.4873196824837,8.63802842002277,8.69696705843672,9.83960284871864
Snrpg,44.3287425692908,36.1862120086742,33.8821097434088,26.6528640065176,28.5708956880675,33.0477800319833
Pcyox1,97.4740818935273,106.544145872963,111.761318036409,107.407063906862,124.54328607902,130.40587572922
Tia1,27.8014636349329,16.5635857029396,20.1679224663148,23.9250655580894,20.1117363226349,21.4644500961499
C87436,15.1448857149414,14.2879579374456,12.2869189179395,15.4575245410934,13.9287363045276,16.5654073275896
