order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12
70839,14677,104110,18573,109674,11565,66514,NA,NA,NA,NA,NA,NA
70839,14677,26413,17869,14660,14661,52633,70503,NA,NA,NA,NA,NA
70839,14677,18783,13106,11670,268860,214579,NA,NA,NA,NA,NA,NA
70839,14677,26413,17869,14660,14661,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,11670,268860,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18573,11564,108147,238505,12411,NA,NA,NA,NA,NA
70839,14677,18783,13106,11670,107239,67092,NA,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,13382,108037,192166,NA,NA,NA,NA,NA
70839,14677,104110,18573,11564,108147,238505,229709,NA,NA,NA,NA,NA
70839,14677,18795,18751,22173,73988,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18573,109674,11565,14718,12583,NA,NA,NA,NA,NA
70839,14677,104110,18573,109674,11565,14718,22117,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,13382,12039,12035,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,353371,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,64059,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,67041,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,11992,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,11992,72039,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,11992,78038,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,56357,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,66885,NA,NA,NA,NA,NA,NA
70839,14677,100503710,105787,107476,257633,73724,17850,NA,NA,NA,NA,NA
70839,14677,100503710,105787,107476,257633,73724,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,113868,110821,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,113868,66904,NA,NA,NA,NA,NA,NA
70839,14677,26413,20846,11761,58875,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,74147,227095,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,15360,15356,69772,78894,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,107303348,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,107823,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,110593,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,12180,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,14013,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,14055,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,14056,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,18193,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,192195,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,208043,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,208266,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,20937,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,213389,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,214162,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,225518,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,226830,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,231051,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,233904,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,234135,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,235626,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,239122,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,381022,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,64707,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,67956,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,69188,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,69726,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,70673,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,73251,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,74729,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,75410,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,77683,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,26433,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,225888,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,110147,73582,232811,NA,NA,NA,NA,NA,NA
70839,14677,26413,22059,69215,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,11670,107239,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,11670,268860,66054,NA,NA,NA,NA,NA,NA
70839,14677,18127,242669,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,11670,107239,15186,NA,NA,NA,NA,NA,NA
70839,14677,26413,15978,15930,71562,70789,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,11670,237940,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18573,109674,11565,14718,12583,246277,NA,NA,NA,NA
70839,14677,18127,cpd:C00533,50868,18024,26462,NA,NA,NA,NA,NA,NA
70839,14677,18127,cpd:C00533,50868,18024,50493,NA,NA,NA,NA,NA,NA
70839,14677,18127,cpd:C00533,50868,18024,232223,20768,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,14629,110175,75475,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,14629,110175,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,100043497,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,100504710,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,66116,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,68396,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,69049,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,93673,NA,NA,NA,NA,NA
70839,14677,18783,13106,100042295,14598,16790,93674,NA,NA,NA,NA,NA
70839,14677,18783,13106,103140,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,56615,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,14387,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,232714,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,76051,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,69983,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,232714,100043684,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,232714,100043686,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,232714,100043688,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,232714,109959,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,232714,11722,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,232714,545562,NA,NA,NA,NA
70839,14677,18706,15251,15275,12091,20442,14537,14423,NA,NA,NA,NA
70839,14677,18706,15251,15275,12091,20442,14537,207839,NA,NA,NA,NA
70839,14677,18706,15251,15275,12091,20442,14537,230145,NA,NA,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,NA,NA,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,67311,NA,NA,NA
70839,14677,18706,15251,15275,67980,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,12091,15211,56174,245847,NA,NA,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,12764,NA,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,12763,NA,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,12763,109754,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,12763,230582,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,12763,266690,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,12763,320635,NA,NA
70839,14677,18706,15251,15275,12091,15211,19703,94181,12763,72017,NA,NA
