geneid_symbol,pvn_A14_log2FC,pvn_L14_log2FC,pvn_A3_log2FC,pvn_L3_log2FC,PVN_14A1,PVN_14A2,PVN_14A3,PVN_14L1,PVN_14L3_b1,PVN_14L4,PVN_3A1_b1,PVN_3A2,PVN_3A3_b1,PVN_3L1_b1,PVN_3L2_b1,PVN_3L3,PVN_naive1,PVN_naive2,PVN_naive3
Zfp354a,-1.29351280196858,0.444689611241038,0.292084097380825,-1.33705328318571,2.04019,59.467391,7.293557,6.806466,3.427692,2.574725,6.123262,11.974985,3.759209,1.979537,3.34898,11.959603,5.000999,4.093039,1.664328
Mapk9,0.360847689472437,0.0624356495511169,-0.449527286178718,0.581628108574169,30.831449,47.019519,22.452063,25.070498,30.216547,24.93817,17.581129,27.106328,35.081424,35.929855,35.815933,36.044617,24.008662,27.65846,21.218282
Canx,-0.238704716717334,-0.978240159915005,-0.652492681396594,-0.146237382614491,303.485374,218.469999,302.334931,181.767157,286.719997,137.725069,227.811255,281.306518,299.617156,323.573694,223.121953,293.57013,358.092352,320.946169,294.701735
Rack1,-0.141415951616704,-0.606339832648165,-0.341679304039854,-0.398806129419679,388.097257,394.223679,409.158849,281.180073,419.821195,238.360459,337.796618,340.764556,384.994828,324.682147,536.562754,349.881767,428.066278,415.85903,469.186554
Rufy1,-0.468106651781431,0.0736372108543105,-0.0465635806641434,-0.253662846632698,15.542313,71.252892,27.279462,22.625428,22.197818,13.171966,20.816742,22.697627,23.255391,18.03307,34.701533,23.814508,21.499571,24.77403,38.178936
Rnf130,-0.451831912320806,-0.490519455278783,-0.313485931083782,-0.381430457295482,217.284404,174.046853,248.098136,211.535102,270.188825,151.942146,239.152456,307.73317,253.369099,228.150542,275.480242,224.64413,297.196379,249.880888,285.347114
Ltc4s,-0.778565626488896,-0.592385645677947,-0.441534816742774,-0.453097159905432,260.218816,340.697428,321.954464,296.063218,294.14857,290.981144,328.6965,405.019538,346.367616,326.072721,411.847574,296.733605,446.385731,348.345806,267.700012
Rad50,-0.0952842344104095,0.298694860070186,0.679462317376795,0.568457780381625,11.989978,16.657415,19.058241,15.754982,21.742155,8.025644,20.513527,20.251125,20.220307,18.994359,18.17873,16.466846,12.808604,20.947105,15.38284
Mrnip,-0.518123287171094,-0.28865608292614,0.468441555260378,0.447361533792619,11.076224,15.634783,21.715571,12.985786,16.066985,18.882899,21.94711,18.374846,9.061209,21.62876,17.006717,13.656241,15.862162,25.208107,13.364971
Clk4,0.184553188109119,-0.542892694350373,-0.153732356503222,0.399749545498186,134.472698,244.617861,88.108755,81.217775,63.155363,60.36681,106.365313,139.881641,127.094232,156.104232,127.424511,109.936117,118.325425,113.13324,105.745956
Sar1b,-0.426644929064215,-0.714773051813177,-0.788679011034007,-0.4913035064102,53.07519,40.51507,62.761207,43.466668,106.786805,31.145289,41.296043,55.239645,39.176858,50.748988,40.874697,84.573743,71.338583,50.122128,72.154392
Jade2,-0.379599527666293,-0.54454448713011,-0.978677953331824,-0.13089898660116,48.237689,45.80474,52.007338,43.026212,59.573539,37.932178,31.845342,75.211904,62.548782,57.312957,59.9156,56.012242,62.756301,56.727255,41.844435
Pdlim4,-0.506569630641578,-0.0187782763552419,0.610649201996348,0.323521582576748,51.705149,30.023319,105.990337,72.505946,121.491042,54.399066,112.163144,89.480351,82.468873,91.921298,92.273988,89.209469,73.45586,91.455158,87.89455
Cdkl3,1.32336569456454,-1.45703685753005,0.157716901239285,-1.1644849417122,17.62349,4.36175,7.162371,2.565118,30.403016,9.252471,7.855913,4.290055,7.120486,3.141769,2.01632,3.636254,7.042375,2.423801,2.799533
Ube2b,-0.331075815268093,0.124128772478486,-0.567420356973277,-0.469160125887167,85.814854,70.02631,84.98301,117.650209,62.045438,45.501771,72.847671,84.18546,118.725428,77.982104,97.952592,99.784756,107.950888,99.05191,87.464069
Cdkn2aipnl,1.58335536449884,0.740426633330775,0.937552836974965,1.47671313203067,38.600303,11.38874,23.645926,21.52008,31.880199,19.585634,24.670888,33.424786,36.355897,35.849921,26.3577,28.446389,12.881109,29.738226,14.464765
Kremen1,-0.917912023177795,-0.651959344692557,-0.523117346920728,-0.384077556808233,9.767193,20.935972,15.871311,11.744364,28.400863,11.569451,12.841472,20.468588,16.987418,14.140669,14.97015,12.581204,18.453928,15.850383,8.726386
Med7,-0.324815268727211,-0.116220287782311,0.568952997431662,-0.295407096964428,55.185194,94.066206,47.129316,63.769927,90.965349,51.663493,102.535353,34.230205,91.475461,56.321643,98.10621,135.451451,69.119679,68.23695,65.002852
Havcr2,-0.990354069860689,-0.670495638372396,-0.980984504166177,-0.327682010551026,102.609682,192.577296,128.034646,128.078232,176.036561,109.389867,103.278248,186.002905,199.244112,162.432343,205.455601,184.158626,203.851834,155.585789,182.657306
Tnip1,-0.892061417509858,-2.08563223600336,-2.28469906019226,-1.90050411089403,43.832675,112.802896,25.625218,19.164494,37.526394,19.468002,16.694456,30.071239,44.096526,21.788457,39.027505,34.03779,81.345816,16.924952,25.858613
Vdac1,-0.753529551447514,-0.732290824867726,-0.214755139433842,-0.802216195827659,55.927128,14.30107,49.309362,56.756553,81.070425,32.134073,81.247457,94.111118,66.125954,54.071246,85.384592,70.429696,94.288237,63.942947,61.426688
Slu7,-1.35921025491268,-0.88832283606997,-0.411960244155567,-0.363722705321623,20.106434,57.891477,28.258597,27.866748,51.074833,11.503598,38.7691,57.597495,34.021726,40.087287,30.75843,47.452129,51.581992,36.562224,27.639221
Ascc2,0.567578123481717,0.177124640538314,0.0318974963504196,0.896011778175138,29.837641,23.411722,19.943612,22.762831,39.269246,18.09144,20.582994,25.551426,39.514593,37.465615,32.282209,31.635118,20.132905,33.322275,22.756137
Hus1,-1.9553048536405,0.020983392683995,-0.497529251430351,-0.202794017870735,1.974523,0.943143,9.3128,7.769342,10.560704,2.966829,5.423709,7.53715,2.537725,6.653046,13.012085,15.213464,7.657158,3.844119,0.85211
Pttg1,1.62398762974344,0.480771632361817,0.772870199795744,1.01253456545587,115.847937,70.525045,102.328988,52.450061,57.508551,70.850091,64.220906,49.208709,80.46159,75.826776,140.346196,81.156158,37.585412,93.472749,84.333435
Zfp607a,-6.0904443352569,-1.32848873915061,-3.63676016518465,-1.53836505369066,0.201578,2.260415,6.294754,5.469336,6.677978,3.830457,1.104271,6.109088,1.025833,4.72885,4.797644,3.849744,13.735661,3.107298,9.833787
Tns3,-0.297419477015958,-0.181481706966848,-0.31971024419095,0.134417930194016,80.396326,101.581351,85.848567,87.123828,86.309324,73.199923,79.163687,94.595905,105.25355,108.450664,111.181406,113.381879,98.802603,115.766649,74.620715
Btg2,-0.222049802127096,-0.119309807420937,0.298842791636132,0.029982813568346,936.923774,912.035611,1097.218147,1006.078989,1411.155128,760.503165,1344.338246,1031.423134,2069.751216,1115.767318,1407.710029,1421.922983,1092.818177,1216.007221,994.463142
Castor1,1.70879958584108,1.46551345144637,1.05704458249921,2.28494104651886,10.363608,8.096447,16.50574,8.755371,10.160977,4.079083,6.596494,11.744394,19.810179,15.450653,10.683165,14.152912,3.170378,9.711954,14.096619
Pes1,-1.0393803653003,-0.850683335847223,-1.42701606373742,-1.09528458607855,37.120756,17.918743,37.838495,42.307784,42.1587,21.276625,28.37441,38.072671,39.016995,35.709845,77.968457,27.555954,76.295949,48.478522,30.70912
Tcn2,-0.192870907684079,-0.267324266964363,-0.293799095262481,-0.189008920426522,312.873093,227.61461,322.469791,297.13617,323.827873,201.6006,291.733165,406.847904,324.963489,313.711753,354.057026,302.979786,357.625225,368.06249,275.77532
4921536K21Rik,0.169867772204275,0.890256142714488,0.591649028294705,0.0551624283894187,2.041893,0,2.317299,3.364275,0.100899,3.781083,2.73528,2.937193,3.143528,1.885833,2.115115,3.12207,1.815088,4.574289,0.353444
Myo1g,0.648035056086804,0.3420310402912,0.770501855860824,0.357636275966447,52.964824,17.843801,31.161083,42.842139,51.755604,46.132275,57.657222,59.720499,65.151252,43.308066,55.960863,41.338261,33.799443,33.044555,39.405019
Smtn,0.640752546989302,1.821239071686,1.89417687181278,-0.798958365446333,3.474536,31.583822,4.865057,7.875147,0.769909,2.407239,8.283524,10.000108,1.600936,1.280857,3.81379,9.852458,2.228492,3.938495,3.364121
Arf5,-0.167410989081945,-0.649901232891461,0.461936353706613,-0.357259701170546,105.709803,49.795923,104.142308,75.660852,132.28862,46.406643,163.5188,112.236128,100.150899,92.675536,95.370943,69.730163,118.716475,78.340031,81.053132
2310033P09Rik,-0.310034166707338,0.0537855457562949,0.256514513642826,0.25291475991736,27.598816,20.421684,42.875081,35.514941,41.439307,28.788886,40.873196,31.380964,27.996142,40.771338,45.055075,48.428849,34.215275,42.672665,38.732325
Guk1,-2.51042401052787,-1.61408846308422,-1.40828064528808,-1.15777705917476,10.644712,0,15.504234,19.813345,34.23945,10.430814,22.851364,15.900062,20.293525,27.184492,37.306554,27.499759,60.65224,13.971611,23.647759
Rnf185,1.28700131999268,0.21318332649489,0.432197821908035,1.61854803114456,22.495858,34.653228,10.17668,10.686885,16.408946,19.227652,12.438874,20.038022,19.063501,28.307927,13.236358,9.200653,9.218846,18.835327,9.472378
